Police_Stn,Type,Latitude,Longitude,Time,Year,Month,Date
Dematagoda,House Braking,6.9243,79.877,830,2017,4,17
Kollupitiya,Theft,6.9235,79.8465,1625,2017,4,17
Modara,House Braking,6.9577,79.8588,315,2017,4,17
Grand Pass,House Braking,6.9606,79.8766,1600,2017,4,18
Pettha,Murder,6.9375,79.8522,1315,2017,4,18
Slave Island,House Braking,6.9235,79.8501,1615,2017,4,18
Dematagoda,House Braking,6.9252,79.8818,830,2017,4,19
Armour_Street,Robbery,6.9398,79.8633,1630,2017,4,20
Grand Pass,Robbery,6.9521,79.8717,1715,2017,4,20
Grand Pass,Assult,6.9526,79.871,1230,2017,4,20
Grand Pass,Theft,6.9533,79.8756,1710,2017,4,21
Kotahena,House Braking,6.9452,79.8578,1630,2017,4,21
Dematagoda,Robbery,6.9301,79.8694,1510,2017,4,22
Modara,Robbery,6.9774,79.878,1325,2017,4,22
Maligawatta,Robbery,6.942,79.8741,1520,2017,4,23
Bambalapitiya,Robbery,6.8908,79.8543,1945,2017,4,24
Modara,House Braking,6.9663,79.866,1600,2017,4,24
Pettha,House Braking,6.9366,79.8532,1545,2017,4,24
Wellawatta,House Braking,6.8753,79.8668,800,2017,4,24
Dematagoda,Theft,6.9315,79.8749,1910,2017,4,25
Kotahena,House Braking,6.9415,79.8551,1430,2017,4,25
Maradana,House Braking,6.9286,79.8736,830,2017,4,25
Maradana,Robbery,6.9211,79.8669,1610,2017,4,25
Slave Island,House Braking,6.9213,79.8518,1030,2017,4,25
Slave Island,Assult,6.9209,79.851,1845,2017,4,25
Grand Pass,Theft,6.9587,79.8773,1530,2017,4,26
Kotahena,Theft,6.9483,79.8638,2030,2017,4,26
Grand Pass,Robbery,6.9445,79.8714,1925,2017,4,27
Maligawatta,Rape,6.9342,79.8712,1900,2017,4,27
Maradana,House Braking,6.9239,79.8655,250,2017,4,27
Maradana,House Braking,6.9265,79.874,115,2017,4,28
Modara,Murder,6.9737,79.8792,1830,2017,4,28
Fort,Assult,6.9339,79.8433,1945,2017,4,29
Armour_Street,Murder,6.9399,79.8611,1215,2017,4,30
Grand Pass,Murder,6.9599,79.8734,2100,2017,4,30
Wellawatta,Drugs,6.8802,79.8683,1245,2017,4,30
Bambalapitiya,Theft,6.8881,79.8551,2210,2017,5,1
Dematagoda,Theft,6.9353,79.8811,1650,2017,5,1
Grand Pass,Murder,6.9444,79.8691,2145,2017,5,1
Maradana,Drugs,6.9219,79.8678,1500,2017,5,1
Wellawatta,Robbery,6.8807,79.8658,1545,2017,5,1
Maligawatta,Theft,6.9365,79.8725,2020,2017,5,2
Bambalapitiya,Theft,6.8852,79.8561,1900,2017,5,3
Narahenpita,Theft,6.8911,79.8619,2010,2017,5,3
Pettha,Theft,6.9376,79.8503,1750,2017,5,4
Modara,Assult,6.975,79.8808,2145,2017,5,5
Pettha,Theft,6.9362,79.8512,2015,2017,5,5
Slave Island,Robbery,6.9288,79.8477,1300,2017,5,5
Slave Island,Theft,6.925,79.8475,1645,2017,5,5
Modara,Murder,6.9673,79.8795,2000,2017,5,6
Fort,Theft,6.9355,79.8462,1945,2017,5,8
Kollupitiya,Robbery,6.91,79.8558,1730,2017,5,8
Maradana,Assult,6.9274,79.8738,2130,2017,5,8
Borella,Theft,6.9159,79.8808,1915,2017,5,9
Borella,Drugs,6.9204,79.8767,745,2017,5,9
Modara,Theft,6.9768,79.8744,1750,2017,5,9
Wellawatta,Drugs,6.8796,79.8622,1415,2017,5,9
Borella,Murder,6.9182,79.8811,2100,2017,5,10
Kotahena,Drugs,6.9461,79.8649,1400,2017,5,10
Dematagoda,House Braking,6.9419,79.8793,1600,2017,5,11
Pettha,Robbery,6.94,79.8539,1830,2017,5,11
Slave Island,House Braking,6.9221,79.8532,1630,2017,5,11
Dematagoda,Robbery,6.93,79.8815,1625,2017,5,12
Grand Pass,Drugs,6.9621,79.8716,1420,2017,5,12
Maligawatta,Assult,6.9369,79.874,1900,2017,5,12
Maligawatta,Drugs,6.9328,79.8716,1330,2017,5,12
Dematagoda,Robbery,6.9308,79.8788,1945,2017,5,13
Kotahena,Robbery,6.9493,79.8637,1600,2017,5,13
Armour_Street,Robbery,6.9396,79.8552,1615,2017,5,14
Dematagoda,Robbery,6.9263,79.8813,1500,2017,5,14
Grand Pass,Theft,6.9452,79.8761,2150,2017,5,14
Grand Pass,Rape,6.9614,79.8692,2025,2017,5,15
Kollupitiya,Theft,6.9007,79.8565,1515,2017,5,15
Maligawatta,Murder,6.9403,79.876,2015,2017,5,16
Modara,Theft,6.9667,79.8706,2300,2017,5,16
Wellawatta,Theft,6.88,79.8631,1500,2017,5,16
Wellawatta,Theft,6.8734,79.859,2015,2017,5,16
Grand Pass,House Braking,6.9541,79.872,1900,2017,5,17
Kollupitiya,House Braking,6.912,79.8486,1445,2017,5,17
Kotahena,Rape,6.9447,79.8593,2315,2017,5,17
Wellawatta,House Braking,6.8759,79.8603,1030,2017,5,17
Grand Pass,Robbery,6.9628,79.8718,1925,2017,5,18
Narahenpita,House Braking,6.8972,79.881,900,2017,5,18
Grand Pass,Theft,6.9506,79.871,1910,2017,5,19
Kollupitiya,House Braking,6.9078,79.8521,1350,2017,5,19
Kotahena,Theft,6.9427,79.8612,1530,2017,5,19
